service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
245072_115636,0,0,0,0,0,1,1,20240609,20241214
245072_116654,0,0,0,0,0,1,1,20240330,20240505
245072_116655,0,0,0,0,0,1,1,20240511,20240602
245072_116656,1,1,1,1,1,1,1,20240608,20240608
245072_116657,0,0,0,0,0,1,1,20240609,20241109
245072_116658,0,0,0,0,0,1,1,20241110,20241208
245072_116659,1,1,1,1,1,1,1,20241214,20241214
245072_116663,0,0,0,0,0,1,1,20240330,20240505
245072_116664,0,0,0,0,0,1,1,20240511,20240602
245072_116665,1,1,1,1,1,1,1,20240608,20240608
245072_116666,0,0,0,0,0,1,1,20240609,20241214
245072_116676,0,0,0,0,0,0,1,20240330,20240505
245072_116677,1,1,1,1,1,1,0,20240330,20240509
245072_116678,1,1,1,1,1,1,0,20240510,20240606
245072_116679,0,0,0,0,0,0,1,20240512,20240602
245072_116680,1,1,1,1,1,1,1,20240607,20240608
245072_116681,1,1,1,1,1,1,1,20240609,20241214
245072_116692,0,0,0,0,1,0,1,20240330,20240505
245072_116693,0,0,0,0,1,0,1,20240510,20240602
245072_116694,1,1,1,1,1,1,1,20240607,20240607
245072_116695,0,0,0,0,1,0,1,20240609,20241213
245072_116701,1,1,1,1,1,0,0,20240330,20240607
245072_116702,1,1,1,1,1,0,0,20240610,20241213
245072_116704,1,1,1,1,1,0,0,20240330,20240607
245072_116705,1,1,1,1,1,0,0,20240610,20241108
245072_116706,1,1,1,1,1,0,0,20241112,20241213
245072_116708,1,1,1,1,1,1,1,20240330,20241109
245072_116709,1,1,1,1,1,1,1,20241110,20241214
245072_116711,1,1,1,1,1,1,1,20240330,20240608
245072_116712,1,1,1,1,1,1,1,20240609,20241214
245072_116716,1,1,1,1,0,1,0,20240330,20240509
245072_116717,1,1,1,1,0,1,0,20240511,20240606
245072_116718,1,1,1,1,1,1,1,20240608,20240608
245072_116719,1,1,1,1,0,1,0,20240610,20241214
245072_117957,1,1,1,1,1,1,1,20240330,20240510
245072_117958,1,1,1,1,1,1,1,20240511,20240607
245072_117959,1,1,1,1,1,1,1,20240608,20240608
245072_117960,1,1,1,1,1,1,1,20240609,20241214
245072_117964,1,1,1,1,0,1,0,20240330,20240509
245072_117965,1,1,1,1,0,1,0,20240511,20240606
245072_117966,1,1,1,1,1,1,1,20240608,20240608
245072_117967,1,1,1,1,0,1,0,20240610,20241214
245072_117971,0,0,0,0,1,0,1,20240330,20240505
245072_117972,0,0,0,0,1,0,1,20240510,20240602
245072_117973,1,1,1,1,1,1,1,20240607,20240607
245072_117974,0,0,0,0,1,0,1,20240609,20241213
245072_117977,1,1,1,1,1,0,0,20240330,20240607
245072_117978,1,1,1,1,1,0,0,20240610,20241213
245072_117980,1,1,1,1,1,1,1,20240330,20240608
245072_117981,1,1,1,1,1,1,1,20240609,20241109
245072_117982,1,1,1,1,1,1,1,20241110,20241214
245072_117984,1,1,1,1,1,1,1,20240330,20240608
245072_117985,1,1,1,1,1,1,1,20240609,20241109
245072_117986,1,1,1,1,1,1,1,20241110,20241214
245072_117988,1,1,1,1,1,0,0,20240330,20240607
245072_117989,1,1,1,1,1,0,0,20240610,20241213
245073_115743,0,0,0,0,0,1,0,20240420,20240427
245073_115744,0,0,0,0,0,1,0,20240504,20240608
245073_115745,0,0,0,0,0,1,0,20240615,20241214
245073_115747,0,0,0,0,1,0,0,20240419,20240426
